record_type,as_of_date,account_label,ticker,security_name,asset_type,sector,theme,quantity,cost_basis_per_share,total_cost_basis,current_price,market_value,unrealized_gain_loss,portfolio_weight_pct,invested_weight_pct,cash_value,cash_weight_pct,data_source,verification_status,notes
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,MSFT,Microsoft Corp,Common stock,Information Technology,AI/cloud,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,NVDA,NVIDIA Corp,Common stock,Information Technology,AI/accelerated computing,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,GOOGL,Alphabet Inc Class A,Common stock,Communication Services,digital advertising/AI,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,AMZN,Amazon.com Inc,Common stock,Consumer Discretionary,e-commerce/cloud,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,COST,Costco Wholesale Corp,Common stock,Consumer Staples,consumer-defensive,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,JPM,JPMorgan Chase & Co,Common stock,Financials,banking/credit,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,V,Visa Inc Class A,Common stock,Financials,payments,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,LLY,Eli Lilly and Co,Common stock,Health Care,pharmaceuticals/metabolic health,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,XOM,Exxon Mobil Corp,Common stock,Energy,integrated energy,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_HOLDING,2026-07-28,NORMALIZED_100_UNIT_MODEL,CAT,Caterpillar Inc,Common stock,Industrials,industrial/infrastructure cycle,,,,,8.7,,8.7,10.0,,,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,"Market value is normalized units; Perplexity must refresh live price and evidence, but should begin without requesting holdings."
MODEL_CASH,2026-07-28,NORMALIZED_100_UNIT_MODEL,CASH,Cash reserve,Cash,Cash,liquidity,,,,,13.0,,13.0,,13.0,13.0,Mandate-designed operating baseline,ASSUMPTION_MODEL_NOT_BROKER_VERIFIED,Dry powder and risk buffer.
