watch_id,date_added,ticker,company,sector,theme,desired_entry_low,desired_entry_high,currency,proposed_weight_pct,catalyst,catalyst_date_or_window,key_risks,invalidation_conditions,five_tenet_status,source_links,last_researched_at,status,notes
W-001,2026-07-28,MSFT,Microsoft Corp,Information Technology,AI/cloud,0.94x live price,0.99x live price,USD,8.7,Azure/AI revenue growth and next earnings guidance,Next scheduled earnings; verify issuer calendar,AI capex intensity; cloud competition; valuation compression,Azure growth materially decelerates for two reports or AI capex fails to produce operating leverage,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-002,2026-07-28,NVDA,NVIDIA Corp,Information Technology,AI/accelerated computing,0.90x live price,0.97x live price,USD,8.7,"Data-center platform demand, product-ramp execution, and next guidance",Next scheduled earnings and product updates; verify issuer calendar,Customer concentration; export controls; hyperscaler in-house chips; cyclicality,Data-center growth and forward guidance both materially decelerate while gross margin weakens beyond the stated transition plan,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-003,2026-07-28,GOOGL,Alphabet Inc Class A,Communication Services,digital advertising/AI,0.94x live price,1.00x live price,USD,8.7,"Search monetization, cloud profitability, AI product adoption, and capital returns",Next scheduled earnings; verify issuer calendar,AI search disruption; antitrust remedies; capex; advertising cyclicality,Search economics structurally deteriorate or legal remedies impair distribution beyond the bear-case allowance,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-004,2026-07-28,AMZN,Amazon.com Inc,Consumer Discretionary,e-commerce/cloud,0.93x live price,0.99x live price,USD,8.7,"AWS growth, retail margin, advertising, and next guidance",Next scheduled earnings; verify issuer calendar,Heavy capex; retail demand; cloud competition; regulatory action,AWS growth and consolidated operating margin both fall below the base-case range for two reports,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-005,2026-07-28,COST,Costco Wholesale Corp,Consumer Staples,consumer-defensive,0.88x live price,0.95x live price,USD,8.7,"Membership renewal, fee economics, traffic, and comparable sales",Next scheduled earnings and monthly sales; verify issuer calendar,Premium valuation; wage/input pressure; consumer slowdown; FX,Renewal weakens materially or comparable sales and traffic deteriorate without valuation support,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-006,2026-07-28,JPM,JPMorgan Chase & Co,Financials,banking/credit,0.93x live price,0.99x live price,USD,8.7,"Net interest income, credit normalization, capital return, and expense control",Next scheduled earnings and regulatory capital updates,Credit losses; recession; regulation; deposit competition; rate sensitivity,Credit deterioration exceeds reserves/base case while capital return or profitability guidance weakens,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-007,2026-07-28,V,Visa Inc Class A,Financials,payments,0.94x live price,1.00x live price,USD,8.7,"Cross-border volume, payments growth, pricing, and capital return",Next scheduled earnings; verify issuer calendar,Regulation/litigation; consumer slowdown; alternative rails; FX,Payment volume and cross-border growth materially weaken or regulation impairs network economics,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-008,2026-07-28,LLY,Eli Lilly and Co,Health Care,pharmaceuticals/metabolic health,0.88x live price,0.96x live price,USD,8.7,"Capacity expansion, obesity/diabetes franchise demand, pipeline and guidance",Next scheduled earnings and disclosed regulatory/pipeline milestones,High valuation; supply constraints; trial/regulatory risk; competition; reimbursement,Franchise growth or supply expansion misses materially and pipeline/reimbursement evidence no longer supports the valuation,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-009,2026-07-28,XOM,Exxon Mobil Corp,Energy,integrated energy,0.92x live price,0.99x live price,USD,8.7,"Production execution, refining/chemicals cycle, cost savings, and capital return",Next scheduled earnings and investor updates,Oil/gas prices; project execution; regulation; geopolitical risk,Free cash flow cannot cover planned capital spending and shareholder returns under the documented mid-cycle price case,PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
W-010,2026-07-28,CAT,Caterpillar Inc,Industrials,industrial/infrastructure cycle,0.92x live price,0.99x live price,USD,8.7,"Backlog conversion, dealer inventories, pricing, infrastructure/mining demand",Next scheduled earnings; verify issuer calendar,Industrial recession; dealer destocking; China; commodity and construction cycle,"Backlog, orders, and dealer inventories jointly indicate a downturn worse than the bear case",PRELIMINARY_PASS_REVERIFY_LIVE,"Issuer IR, latest 10-K/10-Q, SEC filings, and benchmark data; Perplexity to attach direct URLs",2026-07-28T00:00:00Z,CORE_MODEL_RESEARCH,Relative entry multipliers avoid a fabricated stale quote; convert from one live timestamp.
