thesis_id,recorded_at_utc,as_of_market_time,ticker,recommendation,status,decision_horizon,reference_price,currency,proposed_entry_low,proposed_entry_high,proposed_weight_pct,benchmark,return_goal_pct,base_case_target,bull_case_target,bear_case_target,base_probability_pct,bull_probability_pct,bear_probability_pct,expected_return_pct,thesis,catalysts,risks,invalidation_conditions,tenet_1,tenet_2,tenet_3,tenet_4,tenet_5,automatic_rejection_check,cooling_period_ends_utc,primary_sources,secondary_sources,assumptions,unknowns,author,original_record_hash,supersedes_thesis_id
T-20260728-001,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,MSFT,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.94x live price,0.99x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Cloud distribution, recurring enterprise revenue, and AI monetization can compound earnings while balance-sheet quality contains downside.",Azure/AI revenue growth and next earnings guidance,AI capex intensity; cloud competition; valuation compression,Azure growth materially decelerates for two reports or AI capex fails to produce operating leverage,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-002,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,NVDA,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.90x live price,0.97x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Platform leadership and the accelerated-computing buildout can sustain exceptional data-center economics, offset by high expectations and cyclicality.","Data-center platform demand, product-ramp execution, and next guidance",Customer concentration; export controls; hyperscaler in-house chips; cyclicality,Data-center growth and forward guidance both materially decelerate while gross margin weakens beyond the stated transition plan,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-003,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,GOOGL,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.94x live price,1.00x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Search cash generation, cloud profitability, AI distribution, and buybacks can outweigh disruption and regulatory risks at a disciplined entry.","Search monetization, cloud profitability, AI product adoption, and capital returns",AI search disruption; antitrust remedies; capex; advertising cyclicality,Search economics structurally deteriorate or legal remedies impair distribution beyond the bear-case allowance,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-004,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,AMZN,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.93x live price,0.99x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"AWS, advertising, and retail efficiency provide multiple earnings drivers, while capex and valuation require entry discipline.","AWS growth, retail margin, advertising, and next guidance",Heavy capex; retail demand; cloud competition; regulatory action,AWS growth and consolidated operating margin both fall below the base-case range for two reports,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-005,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,COST,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.88x live price,0.95x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Membership economics, renewal strength, and traffic resilience provide defensive compounding, but only at a valuation with adequate downside protection.","Membership renewal, fee economics, traffic, and comparable sales",Premium valuation; wage/input pressure; consumer slowdown; FX,Renewal weakens materially or comparable sales and traffic deteriorate without valuation support,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-006,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,JPM,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.93x live price,0.99x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Scale, diversified earnings, balance-sheet strength, and capital generation position the bank to navigate credit normalization.","Net interest income, credit normalization, capital return, and expense control",Credit losses; recession; regulation; deposit competition; rate sensitivity,Credit deterioration exceeds reserves/base case while capital return or profitability guidance weakens,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-007,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,V,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.94x live price,1.00x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Global electronic-payment growth and network economics support durable free cash flow, subject to regulation and consumer activity.","Cross-border volume, payments growth, pricing, and capital return",Regulation/litigation; consumer slowdown; alternative rails; FX,Payment volume and cross-border growth materially weaken or regulation impairs network economics,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-008,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,LLY,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.88x live price,0.96x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Metabolic-health demand, manufacturing expansion, and pipeline breadth can drive growth, but valuation and clinical/reimbursement risks demand a wider margin of safety.","Capacity expansion, obesity/diabetes franchise demand, pipeline and guidance",High valuation; supply constraints; trial/regulatory risk; competition; reimbursement,Franchise growth or supply expansion misses materially and pipeline/reimbursement evidence no longer supports the valuation,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-009,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,XOM,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.92x live price,0.99x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Integrated assets, cost discipline, and capital returns provide energy exposure and inflation diversification, governed by a mid-cycle commodity case.","Production execution, refining/chemicals cycle, cost savings, and capital return",Oil/gas prices; project execution; regulation; geopolitical risk,Free cash flow cannot cover planned capital spending and shareholder returns under the documented mid-cycle price case,PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
T-20260728-010,2026-07-28T00:00:00Z,PRE_LIVE_RESEARCH,CAT,WATCH,MODEL_BASELINE,3-6 months,LIVE_PRICE_REQUIRED,USD,0.92x live price,0.99x live price,8.7,SPY total return,10.0,+16% from refreshed reference,+30% from refreshed reference,-14% from refreshed reference,55,20,25,11.3,"Backlog, pricing, services, and infrastructure/mining demand can support earnings, with sizing constrained by industrial cyclicality.","Backlog conversion, dealer inventories, pricing, infrastructure/mining demand",Industrial recession; dealer destocking; China; commodity and construction cycle,"Backlog, orders, and dealer inventories jointly indicate a downturn worse than the bear case",PRELIMINARY_PASS,PRELIMINARY_PASS,REVERIFY_WITH_LIVE_VALUATION,REVERIFY_DATES,PASS_AT_MODEL_WEIGHT,CLEAR_SUBJECT_TO_LIVE_DATA,2026-07-29T00:00:00Z,"Latest issuer 10-K/10-Q, earnings release, investor presentation, and SEC filings",Independent market/industry data and SPY total-return series,Normalized 100-unit portfolio; no leverage; equal 8.7% target; scenario returns are initial priors,"Live price, latest filing developments, exact catalyst dates, current valuation, tax basis, and broker execution are not represented",Codex evidence-governed model,,
